Picture: 1-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
8				-0.08				0.74				-0.81
9				-0.2				1.8				-2.0
Picture: hearth-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-45.19				-44.46				-0.73
2				42.21				31.17				11.04
3				-6.12				5.01				-11.14
4				6.98				-2.36				9.34
5				0.42				7.99				-7.58
6				0.18				-0.01				0.19
7				1.01				1.81				-0.8
8				0.22				-0.57				0.8
9				0.21				1.33				-1.12
Picture: house-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-4.04				-4.05				0.01
2				0.46				0.46				0.01
3				0.66				0.65				0.01
4				0.67				0.69				-0.02
5				0.72				0.7				0.02
6				0.52				0.53				-0.02
7				0.41				0.41				-0.01
8				0.29				0.28				0.01
9				0.23				0.24				-0.01
Picture: lava-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-2.44				6.19				-8.63
2				-0.39				-4.59				4.2
3				-0.02				-1.49				1.47
4				0.38				-0.35				0.73
5				0.43				-0.01				0.43
6				0.53				0.02				0.51
7				0.52				0.07				0.45
8				0.46				0.06				0.4
9				0.44				0.01				0.43
Picture: peacock-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-1.78				-37.68				35.9
2				0.42				-10.6				11.03
3				0.62				29.67				-29.05
4				0.32				7.0				-6.69
5				0.23				-1.99				2.21
6				0.1				5.83				-5.73
7				0.04				4.53				-4.49
8				-0.01				0.91				-0.93
9				-0.02				2.23				-2.26
Picture: pebble-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-0.19				-6.64				6.45
2				-0.41				-1.72				1.31
3				-0.12				3.67				-3.79
4				0.1				1.28				-1.18
5				0.08				0.94				-0.86
6				0.15				0.81				-0.66
7				0.21				0.19				0.02
8				0.05				0.68				-0.63
9				0.04				0.71				-0.67
Picture: sunflower-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-9.23				-4.55				-4.68
2				1.18				-0.15				1.32
3				1.72				1.36				0.36
4				1.71				0.55				1.16
5				1.23				0.66				0.56
6				1.16				0.73				0.43
7				0.92				0.52				0.4
8				0.68				0.52				0.16
9				0.55				0.26				0.29
Picture: vine-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				3.33				-16.8				20.13
2				-0.76				12.66				-13.42
3				-0.61				-0.48				-0.13
4				-0.51				2.26				-2.77
5				-0.35				0.14				-0.49
6				-0.36				1.29				-1.65
7				-0.28				-0.03				-0.25
8				-0.29				1.16				-1.44
9				-0.27				-0.29				0.02
